id,question,answer
10,mọi người cho em hỏi là giả_sử em đang học ngành A nhưng cảm_thấy không theo được muốn chuyển sang ngành B mà điểm thi năm đó không đủ xét chuyển ngành thì em có_thể thi lại và dùng bảo_lưu học_bạ không ạ mong mọi người giải_đáp giúp em_em xin cảm_ơn ạ,chào em điều_kiện chuyển ngành học là 1 em chỉ được phép chuyển sang ngành có điểm_chuẩn bằng hoặc thấp hơn tại năm em trúng_tuyển 2 ngành học em muốn chuyển sang còn chỉ_tiêu 3 lý_do chuyển ngành là hợp_lý và em cần làm đơn trình_bày để gửi lên phòng đào_tạo
11,anh_chị có_thể phân_biệt cho em giữa mi1 và mi2 được không ạ,chào em câu hỏi so_sánh về ngành học MI1 và MI2 em có_thể hỏi tại viện toán ứng_dụng và tin_học nhé viện toán ứng_dụng và tin_học địa_chỉ phòng 106 nhà D3 ĐHBK hà_nội hotline 024 38692137 024 37547860 email sami hust edu vn website https sami hust edu vn trước đó em có_thể tìm đọc thông_tin 2 ngành để có sự so_sánh đối_chiếu ngành mi1 https ts hust edu vn nganh dao tao toan tin và ngành mi2 https ts hust edu vn nganh dao tao he thong thong tin quan_ly
12,ngành_hóa học kỹ_thuật_hóa học_hóa dược khác nhau như thế_nào học những ngành này có làm_việc về mỹ_phẩm được không hóa mỹ_phẩm là một ngành riêng hay nó chỉ nằm trong các ngành trên ạ,chào em câu hỏi này thuộc về ngành chuyên_sâu em hãy inbox tới facebook của viện kỹ_thuật_hóa học ĐHBKHN nhéhttps www facebook com sce hust
13,theo tìm_hiểu em được biết có 3 chương_trình học CNTT là chương_trình truyền_thống IT1 IT2 chương_trình elitech IT E6 IT E7 IT E10 IT EP và chương_trình SIE liên_kết quốc_tế IT LTU tit vuw em muốn biết sự khác nhau về chương_trình học chuyên_ngành học_phí khả_năng ngoại_ngữ cần đạt cơ_hội nhận học_bổng du_học cơ_hội xin việc ở công_ty trong nước và công_ty nước_ngoài trụ_sở việt nam ở cùng một điều_kiện đầu_ra của 2 chương_trình học truyền_thống và elitech với cách hiểu về CNTT như hiện_tại ở nước ta thì có_thể nói cntt khoa_học máy_tính IT1 kỹ_thuật máy_tính IT2 khoa_học dữ_liệu và trí_tuệ nhân_tạo IT E10_vậy những ngành học elitech thì sẽ học cả 3 yếu_tố trên đúng không ạ và vì_sao các ngành học truyền_thống thường lấy điểm_chuẩn cao hơn các ngành học còn lại mong nhận được phản_hồi sớm nhất từ các thầy cô anh_chị ạ,chào em nếu bóc tách câu hỏi của em thì rõ_ràng tại từng ngành học ở mục chương_trình đào_tạo đại_học đã có rồi ví_dụ chương_trình it e6 https ts hust edu vn nganh dao tao cong nghe thong tin viet nhat chuong trinh tien tien chương_trình học chuyên_ngành học_phí khả_năng ngoại_ngữ cần đạt cơ_hội nhận học_bổng du_học cơ_hội xin việc nếu so_sánh giữa 2 chương_trình học truyền_thông và elitech thì các bạn học elitech có lợi_thế về ngoại_ngữ vì chương_trình đào_tạo hoàn_toàn sử_dụng tiếng nước_ngoài trừ một_số môn đại_cương như triết_học lịch_sử đảng tư_tưởng HCM dùng tiếng việt tuy_nhiên nếu các bạn học ở chương_trình truyền_thống chăm_chỉ học tiếng tham_gia các câu lạc_bộ ngoại_ngữ trong thời_gian là sinh_viên xác_định cho mình 1 mục_tiêu rõ_ràng sau khi ra trường là mình phải đi làm tại công_ty nước_ngoài phải trau_dồi rèn_luyện kỹ_năng tiếng anh thì cũng không thua_kém cơ_hội so với các bạn học chương_trình elitech đâu ngành CNTT rất rộng công_thức CNTT khoa_học máy_tính IT1 kỹ_thuật máy_tính IT2 khoa_học dữ_liệu và trí_tuệ nhân_tạo IT E10 này do em tự suy không phải là công_thức để định_nghĩa đúng về ngành cntt nếu em học qua bất_kỳ một ngành CNTT nào em sẽ có suy_nghĩ khác ngành CNTT còn có bigdata data science AI cloud cybersecurity iot ngành học elitech khác chương_trình chuẩn như thế_nào em xem sự so_sánh ở đây https ts hust edu vn tin tuc so sanh diem khac nhau giua chuong trinh chuan chuong trinh tien tien elitech va chuong trinh dao tao quoc te các ngành học truyền_thống thường lấy điểm_chuẩn cao hơn các ngành còn lại vì có nhiều bạn đăng_ký vào khiến tỷ_lệ chọi cao hơn và điểm_chuẩn tất_nhiên cao hơn lý_do vì_sao các bạn lại đăng_ký nhiều vào các ngành học truyền_thống có_thể do một_số nguyên_nhân sau học_phí ngành học truyền_thống chương_trình chuẩn thấp hơn thông_tin tên gọi các ngành này đã có từ lâu được nhiều bậc phụ_huynh học_sinh chú_ý hơn tuy_nhiên công_thức thành_công mỗi người mỗi khác nhau không phải cứ chọn ngành truyền_thống đi theo số đông em hãy chọn ngành phù_hợp với khả_năng tài_chính của gia_đình và theo đam_mê xem_xét tìm_hiểu cơ_hội việc_làm anh_chị đi trước cựu sinh_viên để chọn ngành mình sẽ theo_đuổi
14,so_sánh ngành điện_tử viễn_thông truyền_thống và ngành mới truyền_thông_số và đa_phương_tiện ạ,chào em câu hỏi so_sánh về 2 ngành này em hãy liên_hệ tới viện điện_tử viễn_thông địa_chỉ phòng 405 C9 đại_học bách_khoa hà_nội hotline 024 3869 2242 024 3 8692241 email set office hust edu vn website http set hust edu vn facebook www facebook com set hust edu vn
15,cho e hỏi ktra tư_duy của trường có hạn_chế thí_sinh tham_gia k ạ,chào em nhà_trường không hạn_chế số_lượng thí_sinh tham_gia bài kiểm_tra tư_duy chỉ hạn_chế về thời_gian đăng_ký thời_gian đăng_ký bài kiểm_tra tư_duy sẽ mở từ ngày 25 4 đến hết chi_tiết hướng_dẫn sẽ cập_nhật sau tại bài viết này https ts hust edu vn tin tuc huong dan dang ky tuyen sinh dai hoc 2021
16,thầy ơi cho em hỏi mục 4 chọn tổ_hợp môn_học xét tuyển đánh_giá điểm học_lực thì tổ_hợp mà em chọn bây_giờ và tổ_hợp em chọn khi xét tuyển vào trường bằng kết_quả thi THPT quốc_gia sau_này là độc_lập với nhau đúng không ạ,chào em hệ_thống đăng_ký tuyển_sinh của ĐHBKHN hoàn_toàn độc LẬP với hệ_thống xét tuyển của bộ GD ĐT nên mục 4 tổ_hợp môn_học xét tuyển không LIÊN_QUAN đến tổ_hợp khi em chọn lúc thi TN THPT
17,cho em hỏi ạ em đã đăng_ký xét tuyển thẳng bằng giải hsg quốc_gia trên trang_web của trường rồi thì liệu em có phải nộp cả hồ_sơ_tuyển thẳng đại_học theo quy_định của bộ giáo_dục không ạ,có em nhé riêng diện 1 1 HSG quốc_gia quốc_tế em cũng vẫn phải gửi hồ_sơ cứng theo quy_định của bộ GD ĐT
18,cho em hỏi là em muốn đăng_kí vào trường thì điểm trung_bình 6 học_kì mỗi môn trong tổ_hợp 3 môn thi phải đạt 7 mà của em môn lí được có 6 966667 thì có được làm_tròn lên 7 không ạ với lại ở mục_điền điểm học_kì 1 lớp 12 mà em nhập điểm cả năm lớp 12 có sao không ạ em đang học lớp 12 ạ,chào em 1 chỉ làm_tròn tối_đa lên 2 chữ_số sau dấu_phẩy vậy nên điểm của em là 6 966667 thì làm_tròn thành 6 97 điểm của em là 6 995 thì mới được làm_tròn lên 7 2 trên hệ_thống dangkytuyensinh hust edu vn em chỉ cần nhập đến kỳ 1 lớp 12 nếu là thí_sinh lớp 12
19,sau khi có kết_quả thpt nếu muốn thay_đổi nv sang xét tuyển bài kttd có được k,chào em đến đợt điều_chỉnh nguyện_vọng bổ_sung cuối sau khi diễn ra kỳ thi TN THPT thì em có_thể tự thêm nguyện_vọng BKTTD vào
20,em đang là học_sinh lớp 11 chuẩn_bị lên_lớp 12 trong thời_gian gần đây em có tìm_hiểu các thông_tin về phương_thức xét tuyển tài_năng của trường để chuẩn_bị cho năm tới sau khi tìm_hiểu về quy_chế xttn thì em vẫn chưa hiểu rõ lắm về điều_kiện đăng_kí xét tuyển diện 1 3 Ở trang tuyển_sinh của trường có ghi có điểm TBC học_tập các môn văn_hóa_trừ 2 môn thể_dục và GDQPAN từng năm_học lớp 10 11 và học_kỳ I lớp 12 đạt 8 0 trở lên em đang có điểm TB các 4 kì lớp 10 và 11 đều trên 9 0 nhưng có 2 kì môn văn dưới 8 0 trong trường_hợp này em có đủ điều_kiện để xét tuyển không,chào em không em nhé câu hỏi này đã được trả_lời nhiều lần trên mục HỎI_ĐÁP rồi tính điểm TBC cả năm_học nên điểm kỳ 2 có_thể bù_trừ cho kỳ 1 miễn_là TBC năm lớp 10 của em từ 8 0 trở lên là được
21,em không có tài_khoản team for work and school thì tham_gia phỏng_vấn online như thế_nào ạ,chào em khi đến ca tham_gia phỏng_vấn đã thông_báo thời_gian qua email của em thì em click vào đường link trong mail để tham_gia em có_thể cài sẵn microsoft team hoặc chưa cài thì vào bằng trình_duyệt luôn chọn continue with browser
22,em chào các thầy cô ạ hôm trước em phát_hiện điểm phẩy học_bạ của em bị nhảy HK1 lộn sang HK2 tuy trước đó em cũng đã kiểm_tra lại kĩ_càng rồi vì đã đóng cổng xttn nên em đã email cho nhà_trường xin phép được sửa lại rồi ạ nhưng mà vẫn chưa được nhận phản_hồi ạ tt liệu cái này có ảnh_hưởng đến hồ_sơ của em không ạ tại em đã trúng_tuyển tài_năng rồi ạ,chào em_em hãy tự đăng_nhập lên website xttn hust edu vn để cập_nhật điểm học_tập lại cho đúng điều này tất_nhiên có ảnh_hưởng đến điểm xét tuyển của em nếu bị cao hơn thực_tế sau khi hậu kiểm học_bạ tại ngày nhập_học sẽ bị tính_toán lại xem em có đủ điểm đạt ngưỡng vào ngành đó hay không nếu không thì có_thể em sẽ trượt hoặc phải làm đơn chuyển sang ngành khác đủ ngưỡng và còn chỉ_tiêu do đó em cần tự cập_nhật chính_xác điểm số và kiểm_tra lại tổng_điểm của mình báo cho phòng tuyển_sinh qua email tuyensinh hust edu vn nếu thấy rằng điểm thực của em không đạt ngưỡng nếu tổng_điểm của em vẫn cao hơn thì em có_thể bỏ_qua
23,khoảng bao_lâu thì sẽ có phổ điểm của bài kiểm_tra thi thử ĐGTD 9 4,chào em tối nay sẽ có bài livestream hướng_dẫn trên fanpage tuyển_sinh ĐHBKHN em theo_dõi và đặt câu hỏi nhé https facebook com tsdhbk
24,cho em hỏi là tại_sao phần đăng_ký lại không được chọn địa_điểm thi ạ và em lỡ đăng_ký và thanh_toán rồi thì có được chọn lại địa_điểm thi không ạ,chào em_em sẽ được chọn địa_điểm thi kỳ thi đánh_giá tư_duy kể từ ngày 20 4 tới đây nhé
25,giấy chứng_nhận tham_gia các hoạt_động của hội chữ_thập_đỏ có được tính điểm thưởng không ạ và nếu có thì tính như thế_nào,chào em giấy chứng_nhận tham_gia các hoạt_động xã_hội cấp trường trở lên sẽ được điểm thưởng cấp trường là 1 điểm cấp tỉnh_thành_phố sẽ được nhiều hơn từ 2 5 điểm cụ_thể thang điểm năm nay có thay_đổi hay không và tính như thế_nào em hãy đợi đề_án tuyển_sinh 2023 dự_kiến công_bố vào cuối hoặc đầu nhé
26,cho em hỏi bài thi tư_duy 2023 sẽ không có phần thi tiếng anh nào đúng không ạ vậy thì các em thi khối_ngành ngôn_ngữ vẫn thi các câu hỏi liên_quan toán_hóa sinh_lý như bài thi mẫu đúng không,chào em bài thi tư_duy 2023 KHÔNG CÓ phần thi tiếng anh chuyên_ngành fl1 FL2 dự_định không dùng tổ_hợp thi tư_duy trong năm tuyển_sinh 2023 do đó nếu thí_sinh chọn ngành ngoài FL1 FL2 hoặc vào trường khác thuộc nhóm trường chấp_nhận điểm thi tư_duy thì mới phải thi bài đánh_giá tư_duy
27,cho em hỏi là lịch thi đgnl của diễn ra vào thời_gian nào thời_gian thi thử demo và thời_gian mở cổng đăng_kí với ạ,chào em dự_kiến từ sẽ có lịch thời_gian cụ_thể hơn em theo_dõi fanpage https www facebook com tsdhbk hiện vẫn chưa chốt thời_gian nên chưa thể thông_tin tới em
28,thầy cô cho em hỏi là sinh_viên cntt ở bách_khoa thì sẽ được học_những ngôn_ngữ lập_trình nào ạ em cảm_ơn,lập_trình php C C_vv
29,chỉ_tiêu lớp tài_năng là bao_nhiêu ngành em được biết ngành CNTT đăng_ký học lớp tài_năng gồm có xét tuyển tài_năng và thi tài_năng chỉ_tiêu phần_trăm giữa 2 cách này là bao_nhiêu học_sinh giỏi quốc_gia môn lý lọt vào danh_sách 48 thí_sinh tham_dự kỳ thi chọn ĐTQG tham_dự kỳ thi học_sinh giỏi quốc_tế năm lớp 12 ở thứ hạng không cao 44 48 có khả_năng được tham_gia học_tập ở lớp tài_năng ngành CNTT không ạ,chào em chỉ_tiêu lớp tài_năng sẽ công_bố sau dự_kiến khoảng 30 sinh_viên 1 lớp_học quy_mô nhỏ theo quy_định các bạn xét tuyển thẳng diện HSG quốc_gia quốc_tế sẽ được đăng_ký vào lớp tài_năng mà không cần thi_tuyển các bạn khác sẽ phải thi tầm 1 tuần sau khi nhập_học danh_sách các lớp tài_năng https ts hust edu vn training cate nganh dao tao dai hoc child cate cac chuong trinh dao tao tai nang tuyen chon sau khi nhap hoc em tham_khảo tin đăng_ký thi lớp tài_năng 2020 để hiểu cách_thức tuyển_chọn tương_tự với K66 trong vòng 1 tuần sau ngày nhập_học sẽ công_bố tuyển_sinh lớp đào_tạo tài_năng K66 như tin này https ts hust edu vn tin tuc tuyen sinh cac chuong trinh dao tao tai nang k65
30,cho em hỏi sau học xong 4 năm tại ĐHBKHN nếu được chuyển_tiếp sang pháp thì sẽ theo chương_trình đào_tạo nào thuộc phân_khoa ENSIMAG viện bách_khoa grenoble ạ,chào em câu hỏi này em hãy inbox trực_tiếp tới viện CNTT TT nhé https www facebook com soictofficially
31,D07 có năm em thấy duyệt có năm em không thấy đăng gì hết e đang băn_khoăn,chào em không có tại năm tuyển_sinh 2021 em nhé lý_do là gì việc khoa viện quyết_định 1 ngành học xét tuyển thí_sinh cần biết những kiến_thức tổ_hợp nào VD đa_số các ngành kỹ_thuật CNTT yêu_cầu tổ_hợp A00 toán lý_hóa A01 toán lý anh là để đảm_bảo CHẤT_LƯỢNG và SỰ LĨNH_HỘI KIẾN_THỨC của các em sau khi vào học các môn_học đủ kiến_thức nền_tảng điểm GPA cao do đó các tổ_hợp xét tuyển sẽ cần phải điều_chỉnh lại theo từng năm tuyển_sinh nếu chất_lượng thí_sinh không đảm_bảo điểm số thấp nợ môn_học lại là các thí_sinh ở tổ_hợp nào thì khoa viện có_thể điều_chỉnh hoặc bỏ xét tuyển tổ_hợp đó tổ_hợp D07 là toán_hóa anh thường sẽ phù_hợp hơn với các ngành thiên về hóa sinh_học thực_phẩm môi_trường còn các ngành CNTT sẽ cần kiến_thức toán lý là chủ_yếu để lĩnh_hội kiến_thức của nhiều môn_học chuyên_ngành do đó các ngành đào_tạo CNTT không xét tuyển bằng tổ_hợp d07 năm_ngoái duy_nhất ngành đào_tạo TROY IT thuộc nhóm ngành CNTT có xét tuyển bằng tổ_hợp D07 nhưng năm nay đã bỏ xét bằng tổ_hợp này
32,em đạt giải nhì học_sinh giỏi quốc_gia môn toán thì sẽ được xét tuyển thẳng vào những ngành nào ạ,chào em_em đạt giải nhất nhì ba môn toán thì sẽ được xét tuyển thẳng vào tất_cả các ngành đào_tạo đại_học của bách_khoa nhé em link đăng_ký và hướng_dẫn upload hồ_sơ_tuyển thẳng sẽ công_bố sau trên web dự_kiến vào cuối này
33,em muốn hỏi là e đăng_ký nv 2 vào bách_khoa bằng hình_thức thi riêng và nếu đậu thì trong quá_trình đợi kết_quả nv 1 trường khác bằng hình_thức xét điểm thi tốt_nghiệp kết_quả có được bảo_lưu_không và bảo_lưu tới bao h nếu nguyện_vọng 1 em trượt thì liệu em có_thể quay về bách_khoa và đăng_ký nhập_học,chào em dự_kiến sau khi thi xong thì em sẽ có 03 ngày để sửa nguyện_vọng trên hệ_thống website của nhà_trường không hạn_chế số lần sửa như_vậy em sẽ biết mình đỗ hay trượt và xác_nhận mình có vào bách_khoa hay không vào
34,E có 2 câu hỏi ạ 1 việc đăng_ký nguyện_vọng vẫn theo nguyên_tắc điểm trúng_tuyển của 1 ngành là như nhau giữa các nguyện_vọng đúng không ạ 2 trong TH trường vẫn để 1 phần chỉ_tiêu xét kết_quả THPT mà trong kỳ thi riêng e ko đỗ đỗ ngành chưa thực_sự ưng_ý e có_thể dùng kết_quả THPT để xét tuyển lần nữa ko ạ em cảm_ơn nhiều ạ,1 đúng em nhé điểm trúng_tuyển 1 ngành là như nhau GIỮA CÁC THỨ TỰ_NGUYỆN_vọng 2 nếu vẫn có kỳ thi THPT em có_thể xác_nhận đỗ ngành A_kỳ thi riêng thì sẽ không có tên đăng_ký trong hệ_thống thi THPT quốc_gia nữa nếu em xác_nhận không chọn ngành A ở bách_khoa thì em vẫn tiếp_tục đăng_ký trong hệ_thống thi THPT quốc_gia tuy_nhiên lưu_ý là hệ_thống đăng_ký của trường sẽ đóng trước hệ_thống thi THPT quốc_gia em nhé tức em phải quyết_định trước chứ không_thể đợi_chờ gì thêm nữa
35,cho em hỏi là bây_giờ thi THPTQG chỉ chủ_yếu để xét tốt_nghiệp vậy giờ chỉ còn con đường duy_nhất là thi riêng thôi phải không ạ,chào em trường ĐHBKHN vẫn chưa có thông_tin chính_thức về việc sẽ xét 30 còn lại là thi kỳ thi_tuyển_sinh của ĐHBKHN hà_nội hay chỉ 70 thôi em đợi thông_tin sẽ cập_nhật sau nhé
