id,question,answer1
10,"Mọi người cho em hỏi là: Giả sử em đang học ngành A nhưng cảm thấy không theo được muốn chuyển sang ngành B mà điểm thi năm đó không đủ xét chuyển ngành thì em có thể thi lại và dùng bảo lưu học bạ không ạ?
Mong mọi người giải đáp giúp em. Em xin cảm ơn ạ","Chào em,

Điều kiện chuyển ngành học là:

1. Em chỉ được phép chuyển sang ngành có điểm chuẩn bằng hoặc thấp hơn tại năm em trúng tuyển

2. Ngành học em muốn chuyển sang còn chỉ tiêu

3. Lý do chuyển ngành là hợp lý và em cần làm Đơn trình bày để gửi lên Phòng đào tạo 
"
11,anh chị có thể phân biệt cho em giữa mi1 và mi2 được không ạ.,"Chào em,
Câu hỏi so sánh về ngành học MI1 và MI2, em có thể hỏi tại Viện Toán ứng dụng và Tin học nhé: 
Viện Toán ứng dụng và Tin học

Địa chỉ: Phòng 106 nhà D3, ĐHBK Hà Nội
Hotline: 024 38692137 & 024 37547860
Email:sami@hust.edu.vn
Website:https://sami.hust.edu.vn

Trước đó, em có thể tìm đọc thông tin 2 ngành để có sự so sánh, đối chiếu 
Ngành MI1: https://ts.hust.edu.vn/nganh-dao-tao/toan-tin
Và ngành MI2: https://ts.hust.edu.vn/nganh-dao-tao/he-thong-thong-tin-quan-ly"
12,"Ngành hóa học, kỹ thuật hóa học, hóa dược khác nhau như thế nào?Học những ngành này có làm việc về mỹ phẩm được không?Hóa mỹ phẩm là một ngành riêng hay nó chỉ nằm trong các ngành trên ạ??","Chào em,
Câu hỏi này thuộc về ngành chuyên sâu, em hãy inbox tới Facebook của Viện Kỹ thuật hóa học ĐHBKHN nhéhttps://www.facebook.com/sce.hust"
13,"Theo tìm hiểu, em được biết có 3 chương trình học CNTT là Chương trình truyền thống (IT1, IT2), Chương trình Elitech (IT-E6, IT-E7, IT-E10, IT-EP) và Chương trình SIE liên kết quốc tế (IT-LTU, TIT-VUW,...)Em muốn biết sự khác nhau về chương trình học chuyên ngành, học phí, khả năng ngoại ngữ cần đạt, cơ hội nhận học bổng du học, cơ hội xin việc ở công ty trong nước và công ty nước ngoài (trụ sở Việt Nam) ở cùng một điều kiện đầu ra của 2 chương trình học truyền thống và Elitech.
Với cách hiểu về CNTT như hiện tại ở nước ta thì có thể nói CNTT= Khoa học Máy tính (IT1) + Kỹ thuật Máy tính (IT2) + Khoa học Dữ liệu và Trí Tuệ Nhân tạo (IT-E10), vậy những ngành học Elitech thì sẽ học cả 3 yếu tố trên đúng không ạ? 
Và vì sao các ngành học truyền thống thường lấy điểm chuẩn cao hơn các ngành học còn lại?
Mong nhận được phản hồi sớm nhất từ các thầy cô, anh chị ạ. ","Chào em,
Nếu bóc tách câu hỏi của em thì rõ ràng tại từng ngành học ở mục Chương trình đào tạo đại học đã có rồi
Ví dụ: Chương trình IT-E6: https://ts.hust.edu.vn/nganh-dao-tao/cong-nghe-thong-tin-viet-nhat-chuong-trinh-tien-tien
(Chương trình học chuyên ngành, học phí, khả năng ngoại ngữ cần đạt, cơ hội nhận học bổng du học, cơ hội xin việc)
Nếu so sánh giữa 2 chương trình học truyền thông và Elitech thì các bạn học Elitech có lợi thế về ngoại ngữ, vì chương trình đào tạo hoàn toàn sử dụng tiếng nước ngoài (trừ một số môn đại cương như Triết học, Lịch sử Đảng, Tư tưởng HCM... dùng tiếng Việt).
Tuy nhiên, nếu các bạn học ở chương trình truyền thống chăm chỉ học tiếng, tham gia các câu lạc bộ ngoại ngữ trong thời gian là sinh viên, xác định cho mình 1 mục tiêu rõ ràng sau khi ra trường là: ""Mình phải đi làm tại công ty nước ngoài"", ""Phải trau dồi, rèn luyện kỹ năng tiếng Anh"" thì cũng không thua kém cơ hội so với các bạn học chương trình Elitech đâu.
Ngành CNTT rất rộng, công thức ""CNTT= Khoa học Máy tính (IT1) + Kỹ thuật Máy tính (IT2) + Khoa học Dữ liệu và Trí Tuệ Nhân tạo (IT-E10)"" này do em tự suy, không phải là công thức để định nghĩa đúng về ngành CNTT. 
Nếu em học qua bất kỳ một ngành CNTT nào, em sẽ có suy nghĩ khác, ngành CNTT còn có Bigdata, Data Science, AI, Cloud, Cybersecurity, IoT..... 
Ngành học Elitech khác chương trình chuẩn như thế nào. Em xem sự so sánh ở đây: https://ts.hust.edu.vn/tin-tuc/so-sanh-diem-khac-nhau-giua-chuong-trinh-chuan-chuong-trinh-tien-tien-elitech-va-chuong-trinh-dao-tao-quoc-te
Các ngành học truyền thống thường lấy điểm chuẩn cao hơn các ngành còn lại vì có nhiều bạn đăng ký vào, khiến tỷ lệ chọi cao hơn và điểm chuẩn tất nhiên cao hơn.
(?) Lý do vì sao các bạn lại đăng ký nhiều vào các ngành học truyền thống? Có thể do một số nguyên nhân sau:
- Học phí ngành học truyền thống (chương trình chuẩn) thấp hơn
- Thông tin, tên gọi các ngành này đã có từ lâu, được nhiều bậc phụ huynh/học sinh chú ý hơn
Tuy nhiên, công thức thành công mỗi người mỗi khác nhau, không phải cứ chọn ngành truyền thống đi theo số đông. Em hãy chọn ngành phù hợp với khả năng tài chính của gia đình và theo đam mê (xem xét tìm hiểu cơ hội việc làm, anh chị đi trước, cựu sinh viên...) để chọn ngành mình sẽ theo đuổi"
14,So sánh ngành Điện tử viễn thông truyền thống và ngành mới Truyền thông số và Đa Phương tiện ạ,"Chào em,
Câu hỏi so sánh về 2 ngành này, em hãy liên hệ tới Viện Điện tử - Viễn thông

Địa chỉ: Phòng 405 - C9, Đại học Bách Khoa Hà Nội
Hotline: 024 3869 2242 & 024 3 8692241
Email: set-office@hust.edu.vn
Website: http://set.hust.edu.vn/
Facebook: www.facebook.com/set.hust.edu.vn
"
15,"cho e hỏi ktra tư duy của trường có hạn chế thí sinh tham gia k ạ
 ","Chào em,
Nhà trường không hạn chế số lượng thí sinh tham gia bài kiểm tra tư duy, chỉ hạn chế về thời gian đăng ký. 
Thời gian đăng ký bài kiểm tra tư duy sẽ mở từ ngày 25/4 đến hết ngày 18/5/2021
Chi tiết hướng dẫn sẽ cập nhật sau tại bài viết này: https://ts.hust.edu.vn/tin-tuc/huong-dan-dang-ky-tuyen-sinh-dai-hoc-2021"
16,"Thầy ơi cho em hỏi mục ""4. Chọn tổ hợp môn học xét tuyển (Đánh giá điểm học lực)""
thì tổ hợp mà em chọn bây giờ và tổ hợp em chọn khi xét tuyển vào trường bằng kết quả thi THPT quốc gia sau này là độc lập với nhau đúng không ạ?
 ","Chào em,
Hệ thống đăng ký tuyển sinh của ĐHBKHN hoàn toàn ĐỘC LẬP với hệ thống xét tuyển của Bộ GD&ĐT. Nên mục 4. Tổ hợp môn học xét tuyển KHÔNG LIÊN QUAN đến tổ hợp khi em chọn lúc thi TN THPT."
17,Cho em hỏi ạ: Em đã đăng ký xét tuyển thẳng bằng giải hsg quốc gia trên trang web của trường rồi thì liệu em có phải nộp cả hồ sơ tuyển thẳng đại học theo quy định của bộ giáo dục không ạ?,"Có em nhé,
Riêng diện 1.1 (HSG Quốc gia/Quốc tế), em cũng vẫn phải gửi hồ sơ cứng theo quy định của Bộ GD&ĐT"
18,"-Cho em hỏi là em muốn đăng kí vào trường thì điểm trung bình 6 học kì mỗi môn trong tổ hợp 3 môn thi phải đạt 7 mà của em môn lí được có 6.966667 thì có được làm tròn lên 7 không ạ?
-Với lại ở mục điền điểm học kì 1 lớp 12 mà em nhập điểm cả năm lớp 12 có sao không ạ? (Em đang học lớp 12 ạ)","Chào em, 
1. Chỉ làm tròn tối đa lên 2 chữ số sau dấu phẩy. Vậy nên điểm của em là 6.966667 thì làm tròn thành 6.97(Điểm của em là 6,995 thì mới được làm tròn lên 7)
2. Trên hệ thống dangkytuyensinh.hust.edu.vn, em chỉ cần nhập đến Kỳ 1 lớp 12 nếu là thí sinh lớp 12."
19,sau khi có kết quả thpt nếu muốn thay đổi nv sang xét tuyển bài kttd có được k,"Chào em,
Đến đợt điều chỉnh nguyện vọng bổ sung cuối (sau khi diễn ra kỳ thi TN THPT) thì em có thể tự thêm nguyện vọng BKTTD vào."
20,"Em đang là học sinh lớp 11, chuẩn bị lên lớp 12. Trong thời gian gần đây, em có tìm hiểu các thông tin về phương thức Xét tuyển tài năng của trường để chuẩn bị cho năm tới.
Sau khi tìm hiểu về quy chế XTTN thì em vẫn chưa hiểu rõ lắm về điều kiện đăng kí xét tuyển diện 1.3.
Ở trang tuyển sinh của trường có ghi ""có điểm TBC học tập các môn văn hóa (trừ 2 môn Thể dục và GDQPAN) từng năm học lớp 10, 11 và học kỳ I lớp 12 đạt 8.0 trở lên"".
Em đang có điểm TB các 4 kì lớp 10 và 11 đều trên 9.0 nhưng có 2 kì môn Văn dưới 8.0. Trong trường hợp này em có đủ điều kiện để xét tuyển không?","Chào em,
Không em nhé, câu hỏi này đã được trả lời nhiều lần trên mục HỎI ĐÁP rồi. Tính điểm TBC cả năm học, nên điểm kỳ 2 có thể bù trừ cho kỳ 1. Miễn là TBC năm lớp 10 của em từ 8,0 trở lên là được"
21,Em không có tài khoản Team for Work and School thì tham gia phỏng vấn online như thế nào ạ ?,"Chào em,
Khi đến ca tham gia phỏng vấn (đã thông báo thời gian qua email của em) thì em click vào đường link trong mail để tham gia. Em có thể cài sẵn Microsoft Team hoặc chưa cài thì vào bằng trình duyệt luôn (Chọn ""Continue with Browser"")"
22,"Em chào các thầy cô ạ, hôm trước em phát hiện điểm phẩy học bạ của em bị nhảy (HK1 lộn sang HK2...) tuy trước đó em cũng đã kiểm tra lại kĩ càng rồi.
Vì đã đóng cổng xttn nên em đã email cho nhà trường xin phép được sửa lại rồi ạ nhưng mà vẫn chưa được nhận phản hồi ạ TT.
Liệu cái này có ảnh hưởng đến hồ sơ của em không ạ tại em đã trúng tuyển tài năng rồi ạ ","Chào em,
Em hãy tự đăng nhập lên website xttn.hust.edu.vn để cập nhật điểm học tập lại cho ĐÚNG; Điều này tất nhiên có ảnh hưởng đến điểm xét tuyển của em. Nếu bị cao hơn thực tế (sau khi hậu kiểm học bạ tại ngày nhập học) sẽ bị tính toán lại xem em có đủ điểm đạt ngưỡng vào ngành đó hay không. Nếu không thì có thể em sẽ trượt hoặc phải làm Đơn chuyển sang ngành khác đủ ngưỡng và còn chỉ tiêu.
Do đó, em cần tự cập nhật chính xác điểm số và kiểm tra lại tổng điểm của mình, báo cho phòng tuyển sinh qua email tuyensinh@hust.edu.vn nếu thấy rằng điểm thực của em không đạt ngưỡng. Nếu tổng điểm của em vẫn cao hơn thì em có thể bỏ qua!"
23,Khoảng bao lâu thì sẽ có phổ điểm của bài kiểm tra thi thử ĐGTD 9/4,"Chào em,
Tối nay sẽ có bài livestream hướng dẫn trên fanpage Tuyển sinh ĐHBKHN. Em theo dõi và đặt câu hỏi nhé: https://facebook.com/tsdhbk"
24,Cho em hỏi là tại sao phần đăng ký lại không được chọn địa điểm thi ạ và em lỡ đăng ký và thanh toán rồi thì có được chọn lại địa điểm thi không ạ.,"Chào em, 
Em sẽ được chọn địa điểm thi kỳ thi đánh giá tư duy kể từ ngày 20/4 tới đây nhé"
25,Giấy chứng nhận tham gia các hoạt động của hội chữ thập đỏ có được tính điểm thưởng không ạ và nếu có thì tính như thế nào,"Chào em,
Giấy chứng nhận tham gia các hoạt động xã hội cấp trường trở lên sẽ được điểm thưởng. (Cấp trường là 1 điểm, cấp tỉnh/thành phố sẽ được nhiều hơn từ 2-5 điểm).
Cụ thể thang điểm năm nay có thay đổi hay không và tính như thế nào, em hãy đợi đề án tuyển sinh 2023 (dự kiến công bố vào cuối tháng 3/2023 hoặc đầu tháng 4/2023 nhé)."
26,"
Cho em hỏi:
Bài thi tư duy 2023 sẽ không có phần thi tiếng Anh nào đúng không ạ?
Vậy thì các em thi khối ngành ngôn ngữ vẫn thi các câu hỏi liên quan toán hóa sinh lý như bài thi mẫu đúng không?
","Chào em,
Bài thi tư duy 2023 KHÔNG CÓ phần thi Tiếng Anh. Chuyên ngành FL1, FL2 dự định không dùng tổ hợp thi tư duy trong năm tuyển sinh 2023.
Do đó, nếu thí sinh chọn ngành (ngoài FL1, FL2) hoặc vào trường khác (thuộc nhóm trường chấp nhận điểm thi tư duy) thì mới phải thi Bài đánh giá tư duy."
27,"Cho em hỏi là lịch thi đgnl của năm 2023 diễn ra vào thời gian nào, thời gian thi thử demo và thời gian mở cổng đăng kí với ạ ","Chào em,
Dự kiến từ tháng 2/2023 sẽ có lịch thời gian cụ thể hơn, em theo dõi fanpage https://www.facebook.com/tsdhbk
Hiện vẫn chưa chốt thời gian nên chưa thể thông tin tới em"
28,Thầy cô cho em hỏi là sinh viên CNTT ở bách khoa thì sẽ được học những ngôn ngữ lập trình nào ạ? Em cảm ơn.,"Lập trình Php, C++, C# ...vv "
29,"Chỉ tiêu lớp tài năng là bao nhiêu % ngành?Em được biết, ngành CNTT, đăng ký học lớp tài năng gồm có xét tuyển tài năng và thi tài năng, chỉ tiêu phần trăm giữa 2 cách này là bao nhiêu? Học sinh giỏi quốc gia môn Lý, lọt vào danh sách 48 thí sinh tham dự kỳ thi chọn ĐTQG tham dự kỳ thi học sinh giỏi quốc tế năm lớp 12, ở thứ hạng không cao (44/48) có khả năng được tham gia học tập ở lớp tài năng ngành CNTT không ạ?","Chào em,
Chỉ tiêu lớp tài năng sẽ công bố sau, dự kiến khoảng 30 sinh viên (= 1 lớp học quy mô nhỏ).
Theo quy định năm 2020, các bạn xét tuyển thẳng diện HSG Quốc gia/quốc tế sẽ được đăng ký vào lớp Tài năng mà không cần thi tuyển. Các bạn khác sẽ phải thi (tầm 1 tuần sau khi nhập học).
Danh sách các lớp tài năng: https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc?child_cate=cac-chuong-trinh-dao-tao-tai-nang-tuyen-chon-sau-khi-nhap-hoc
Em tham khảo tin đăng ký thi lớp tài năng 2020 để hiểu cách thức tuyển chọn (Tương tự với K66, trong vòng 1 tuần sau ngày nhập học sẽ công bố tuyển sinh lớp đào tạo tài năng K66 như tin này): https://ts.hust.edu.vn/tin-tuc/tuyen-sinh-cac-chuong-trinh-dao-tao-tai-nang-k65"
30,"Cho em hỏi sau học xong 4 năm tại ĐHBKHN, nếu được chuyển tiếp sang Pháp, thì sẽ theo chương trình đào tạo nào thuộc phân khoa ENSIMAG viện Bách Khoa Grenoble ạ?","Chào em,
Câu hỏi này em hãy inbox trực tiếp tới Viện CNTT & TT nhé: https://www.facebook.com/SoictOfficially"
31,"D07 có năm em thấy duyệt có năm em không thấy đăng gì hết, e đang băn khoăn!!","Chào em,
Không có tại năm tuyển sinh 2021 em nhé.
Lý do là gì?
Việc khoa viện quyết định 1 ngành học xét tuyển thí sinh cần biết những kiến thức tổ hợp nào? VD: Đa số các ngành Kỹ thuật, CNTT yêu cầu tổ hợp A00 (Toán - Lý - Hóa), A01 (Toán - Lý - Anh); là để đảm bảo CHẤT LƯỢNG và SỰ LĨNH HỘI KIẾN THỨC của các em sau khi vào học các môn học (đủ kiến thức nền tảng, điểm GPA cao....)
=> Do đó, các tổ hợp xét tuyển sẽ cần phải điều chỉnh lại theo từng năm tuyển sinh. Nếu chất lượng thí sinh không đảm bảo (điểm số thấp, nợ môn, học lại....), là các thí sinh ở tổ hợp nào thì khoa viện có thể điều chỉnh hoặc bỏ xét tuyển tổ hợp đó.
Tổ hợp D07 là Toán - Hóa - Anh, thường sẽ phù hợp hơn với các ngành thiên về Hóa – Sinh học – Thực phẩm – Môi trường. Còn các ngành CNTT sẽ cần kiến thức Toán, Lý là chủ yếu để lĩnh hội kiến thức của nhiều môn học chuyên ngành. Do đó, các ngành đào tạo CNTT không xét tuyển bằng tổ hợp D07
(Năm ngoái, duy nhất ngành đào tạo TROY-IT thuộc nhóm ngành CNTT có xét tuyển bằng tổ hợp D07 nhưng năm nay đã bỏ xét bằng tổ hợp này)."
32,Em đạt giải nhì học sinh giỏi quốc gia môn toán thì sẽ được xét tuyển thẳng vào những ngành nào ạ?,"Chào em, 
Em đạt giải (Nhất, Nhì, Ba) môn Toán thì sẽ được xét tuyển thẳng vào tất cả các ngành đào tạo đại học của Bách Khoa nhé em.Link đăng ký và hướng dẫn upload hồ sơ tuyển thẳng sẽ công bố sau trên web, dự kiến vào cuối tháng 5 này."
33,"Em muốn hỏi là e đăng ký nv 2 vào bách khoa bằng hình thức thi riêng và nếu đậu thì trong quá trình đợi kết quả nv 1( trường khác, bằng hình thức xét điểm thi tốt nghiệp )  kết quả có được bảo lưu không và bảo lưu tới bao h. Nếu nguyện vọng 1 em trượt thì liệu em có thể quay về bách khoa và đăng ký nhập học","Chào em, dự kiến sau khi thi xong (ngày 15/8/2020) thì em sẽ có 03 ngày để sửa nguyện vọng trên hệ thống website của nhà trường, không hạn chế số lần sửa. 
Như vậy, em sẽ biết mình đỗ hay trượt, và xác nhận mình có vào Bách Khoa hay không vào tháng 9."
